#Key+A955,String,Size,Notes
SOTS_APPLICATION_TITLE,Sword of the Stars,,
SOTS_COLLECTORSEDITION_ENABLED_TITLE,,,
SOTS_COMPLETECOLLECTION_ENABLED_TITLE,: Complete Collection,,
SOTS_ARGOSNAVALYARD_TITLE,: Argos Naval Yard,,

MARS_CONFIRM_QUIT,Are you sure you want to quit?,1000,Message to user when closing the app.
MARS_CANNOT_CREATE_DEVICE,Cannot Create D3D Device,1000,Message when Direct3D cannot be initialized.

SOTS_GAME_AUTOSAVE,(Autosave),30,"Filename, only use legal file system characters."
SOTS_GAME_AUTOSAVEBACKUP,(Autosave Backup),30,"Filename, only use legal file system characters."
SOTS_GAME_REJOINSAVE,(Rejoin),30,"Filename, only use legal file system characters."

COMMON_OK,OK,,
COMMON_CANCEL,Cancel,,
COMMON_DONE,Done,,
COMMON_TURN,Year,,
COMMON_TURNS,Years,,
COMMON_RANGE,Range,,
COMMON_ETA,ETA,,
COMMON_FLEET,Fleet,,
COMMON_DESTINATION,Destination,,
COMMON_UNKNOWN,Unknown,15,Generic substitute for game information that is not known. (such as destination unknown)
COMMON_PLAYER,Player,,
COMMON_BUDGETBAR_LEFT,Savings,,
COMMON_BUDGETBAR_RIGHT,Research,,
COMMON_ENCOUNTER,Encounter,15,"As in ""Encounter at Ezkepren"""
COMMON_GAMEOVER,Game Over,,
COMMON_DEEPSPACE,Deep Space,,Used for location name when there is no system.
COMMON_NODESPACE,Nodespace,,Used for location name when combat occurs in nodespace.
COMMON_YES,Yes,,
COMMON_NO,No,,
COMMON_NOTAVAIL,n/a,,A short string for columns of stats to indicate the stat is not applicable/not available
COMMON_SORTBY,Sort By...,,For popup menus to sort a list
COMMON_SEND,Send,,
COMMON_CLOSE,Close,,
COMMON_EARTH,Earth,,
COMMON_PERCENT,%s%%,50,"To display a percentage, eg 50%"
COMMON_ABORT,Abort,,
COMMON_RETRY,Retry,,
COMMON_ETA_STALLED,Paused,,
COMMON_ETA_ONETURN,ETA: 1 Year,,
COMMON_ETA_NTURNS,ETA: %s Years,,params: number of years.
COMMON_EMPTY,Empty,,
COMMON_SAVE,Save,,
COMMON_PENDING,Pending,,
COMMON_1SHIP,1 Ship,,
COMMON_NSHIPS,%s Ships,,
